Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
32,167,1.7991627800857935e-13,1.799439542995527e-10,5.3986946116825206e-11,4.100832217072653e-10,2.4866000131099604,-3.0309692536800847,2.19954050668621,-0.730777056265749,2.4272266212165375e-15,8.426592968664236e-16,1.831815227158891e-16,8.735929583711248e-23,8.800217634669823e-24,6.502752945039852,9.40532601016059e-11,2.3902748232240766e-11,2.396837225977582e-11,3.7024186549266e-11,4.585517524386901e-12,2.4072713863728323e-14,7.764188835363488e-14,4.510157499532563e-14,2.073903454702833e-14
33,116,1.5437414867132531e-13,1.5522177651976576e-10,2.238342044542133e-11,1.1729208363038325e-09,2.617358794641236,-3.2250869882040103,2.327847560052163,-0.7615822770275558,3.2934200573076558e-15,3.7429896361582036e-16,4.2509571030410863e-17,1.9852323733441463e-23,4.205502091680357e-24,5.391633316047703,1.1561462627851144e-10,2.377230150949728e-11,1.4405136450495446e-11,1.4240433969243285e-11,1.5550951173975467e-12,2.183269032610315e-14,1.1260152878700669e-13,5.179867529339752e-14,9.769589474184311e-15
34,91,1.1441965920412262e-13,1.164424010514778e-10,1.0295903091077975e-11,1.6769363231736475e-09,2.7142942661331633,-3.3754248366326136,2.4039490869438556,-0.777993710879018,2.310980657962944e-15,1.0928867537846798e-16,1.4095114330333117e-17,7.144471522573802e-24,1.626114973370609e-24,5.141791637804328,8.879164375649065e-11,1.8468146448664976e-11,1.0411123171285348e-11,5.0060391177877996e-12,5.130970230376117e-13,3.5424630529924225e-14,5.5534287327973934e-14,4.441871221222728e-14,7.55115183302956e-15
35,103,1.1194872372104343e-13,1.1299110310393108e-10,1.0128345697295116e-11,1.262279043197476e-09,2.7238569034818605,-3.406971058299048,2.4529610467267506,-0.8084581648109199,1.7843008021962366e-15,1.2981289344834556e-16,1.3198425811384094e-17,8.834947465651353e-24,1.2776158530260907e-24,5.497734350956365,9.04872484068542e-11,1.8385216666033814e-11,9.091632673812035e-12,5.1037451468746596e-12,5.061152476428007e-13,8.292572654652084e-15,7.426826659715812e-14,3.433041370445285e-14,8.428604470706063e-15
36,118,1.063696106478359e-13,1.0759871853883374e-10,2.152594890158951e-11,2.533760561226464e-09,2.548662212349286,-3.1173243287450454,2.260831993791837,-0.7636925872064506,1.465840471053008e-15,3.110429489236619e-16,6.461848322917859e-17,2.3033844474347882e-23,3.401993215999949e-24,6.418035992718781,6.317699866392211e-11,2.149551264909268e-11,1.4548672895377285e-11,1.4118527015456102e-11,1.55513629387393e-12,1.0671493771547229e-14,6.24023394517444e-14,5.868689414125916e-14,1.362419357833347e-14
37,105,1.403449605546116e-13,1.4167992813640816e-10,1.5738209014090953e-11,1.5258992381492347e-09,2.741948603298556,-3.4511915792808203,2.4696657256045667,-0.8025688405152467,1.8348873326256397e-15,2.1837910283117675e-16,1.42232805317143e-17,1.5384370386361604e-23,2.7475659884023554e-24,5.858179295792713,1.0023968260685743e-10,2.5938121463630246e-11,1.3664886159844575e-11,8.615939139347226e-12,7.869501828955199e-13,1.2102144982911645e-14,8.820339303224999e-14,5.915367133180793e-14,1.081023392097745e-14
38,196,1.4025918108759776e-13,1.4055849395285613e-10,5.6538331122965774e-11,2.3333857363318254e-09,2.452363487359001,-3.0021278613387463,2.144980592501886,-0.7207260659486859,1.6391631346715718e-15,8.266154946871209e-16,1.9371262407873795e-16,1.0579238968901381e-22,8.646671445957268e-24,6.990657359847847,4.571443294415442e-11,2.556707443138861e-11,3.068778399104366e-11,3.8494994871611483e-11,4.506617251851047e-12,2.347058120643681e-14,3.933534472036182e-14,6.606814152661325e-14,2.091825479409986e-14
39,109,1.327575298986331e-13,1.3412803328880807e-10,1.603207438612942e-11,1.766187851581278e-09,2.644238565138605,-3.2688057513786557,2.3651250993998434,-0.7859275723825461,1.9791090219455315e-15,1.9877522315243685e-16,3.185435692549108e-17,1.4232001451426482e-23,2.391468389956905e-24,6.069707918015995,9.36375414672455e-11,2.5320779434829106e-11,1.1270458522620737e-11,9.294258436304505e-12,9.845576552261657e-13,1.729636039544427e-14,6.350924327176151e-14,5.6687230264739476e-14,1.3027435270816069e-14
40,177,1.5825612483180403e-13,1.6044390879187502e-10,5.53053739125663e-11,4.697195957954767e-09,2.5139525354180696,-3.095522289720968,2.2126930593700433,-0.7322348026140597,1.802343018150671e-15,1.0517532912789299e-15,1.0705311224543378e-16,4.2929122263951486e-23,1.0237315825528591e-23,6.852141814161023,7.774240636970716e-11,2.4999303089462555e-11,3.143733332413705e-11,3.952979295376431e-11,4.212801404101416e-12,1.889801419520251e-14,6.407973315376453e-14,4.178542750860012e-14,1.8705790758488578e-14
41,88,1.3088379335198513e-13,1.3393452376734333e-10,1.4905477186558296e-11,2.3679255670918464e-09,2.678495922655039,-3.3285243268178935,2.396372206311384,-0.7892800553031221,2.8669301807506786e-15,2.25931219510497e-16,2.2445345520668788e-17,1.834438922635975e-23,2.5943048455875572e-24,5.468529889438919,8.341183341658826e-11,3.3382533267013566e-11,1.0485148141051797e-11,7.967880297968433e-12,8.480503279119827e-13,2.6551168458422154e-14,1.0789033053415394e-13,7.067848549333273e-14,1.1380971184067335e-14
42,91,2.178984740119328e-13,2.2044206978250442e-10,1.3704122633285863e-11,1.6855594641813781e-09,2.7553807418662863,-3.44371863656444,2.464243875782773,-0.807147058326339,2.963375297007576e-15,1.3320988507080635e-16,2.145334280983794e-17,8.226358238775846e-24,1.2649495986276788e-24,4.992366907118343,2.0492266300248265e-10,3.081480597068651e-11,1.2441960263781015e-11,6.171473815425982e-12,5.625428433282535e-13,2.1082997424658902e-14,1.887060538792673e-13,6.432305571952713e-14,6.6326864010984785e-15
43,101,1.8154695940803094e-13,1.8320354867854934e-10,1.875425111181466e-11,1.5468550237378264e-09,2.6933022545870555,-3.350988064026189,2.403127045354966,-0.7824775104587535,2.421462321465235e-15,2.524981776014026e-16,2.246926554884049e-17,1.8328538540310064e-23,2.403142226154167e-24,5.692077350861022,1.5296189359681222e-10,2.7350727521169123e-11,1.0166795213698583e-11,1.1471956552175343e-11,1.044353054687262e-12,1.7483533449533062e-14,1.1365197032051655e-13,1.0697322561172682e-13,7.382235872697523e-15
44,94,2.870159101875322e-13,2.8891552029576563e-10,1.57819213777442e-11,1.3314473953498652e-09,2.779910966926395,-3.4921888040272453,2.5050256157688144,-0.8210877621563515,3.6010836090034145e-15,1.63727865836082e-16,1.505576201286045e-17,1.4957253437710398e-23,1.6190875624964182e-24,5.0466420007270205,3.258423733112359e-10,3.977545273336561e-11,1.0736222896213349e-11,6.740201758139928e-12,6.113846433555205e-13,3.712636517290892e-14,2.0217685341857645e-13,8.200042806075907e-14,6.261196346150552e-15
45,141,1.4693200506508584e-13,1.4796112581730534e-10,2.790155146661839e-11,2.0250109637179973e-09,2.5894560264222517,-3.195606211707417,2.3214439401224736,-0.7696220421254559,1.982776088311192e-15,4.2819333909878864e-16,4.578073334447377e-17,4.022768668366519e-23,2.774604752070078e-24,6.24693156394,1.2649189421288236e-10,2.4344421397681952e-11,1.3530743841330713e-11,1.8259678305804907e-11,2.067530835123564e-12,8.668077337586666e-15,7.748458382061545e-14,7.694684617834628e-14,1.1197419028589647e-14
46,80,4.796155217051739e-13,4.834368282806469e-10,2.2877894306033913e-11,1.7890996129513342e-09,2.7683673021510287,-3.4819585742397865,2.539907483096991,-0.8543327536217057,6.7272689275396355e-15,2.0422208393885151e-16,2.568400910839529e-17,1.344241776875912e-23,2.0645621211400434e-24,4.912334621120094,6.028709892668065e-10,7.176560685868298e-11,1.2180498579635794e-11,8.480238436269176e-12,8.806315433145287e-13,5.216156112994802e-14,3.8577872629229893e-13,1.3391020706765334e-13,1.1233894664397413e-14
47,103,1.2457997098433663e-13,1.2686431861918857e-10,1.669292042488674e-11,2.613586277376393e-09,2.629388080903861,-3.253545750011824,2.376159600903538,-0.8020123083687323,2.5911981386648493e-15,2.0569974827163733e-16,3.292836392184506e-17,1.7838221243807397e-23,3.322534937867505e-24,5.66075386106931,9.37752172052921e-11,2.5382453577797026e-11,1.402178733336244e-11,8.532340477772325e-12,1.1054245514057326e-12,1.5428411746906025e-14,9.114044867915313e-14,5.974423436142632e-14,8.846532188129602e-15
